name,concatenated,topic,region,number,requesting organization,organization_name
Manitoba Flood Mapping 6,Flood Mapping - Manitoba (6) MapSwipe,Flood Mapping,Manitoba,6,MapSwipe,
Manitoba Flood Resilience,Flood Resilience - Manitoba (1) MapSwipe,Flood Resilience,Manitoba,1,MapSwipe,
Eliminate Malaria: Angola 14,Eliminate Malaria - Angola (14) MapSwipe,Eliminate Malaria,Angola,14,MapSwipe,
Zambia Statistics Agency Census - Southern Province (1) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (1) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,1,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (2) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (2) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,2,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (3) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (3) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,3,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (4) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (4) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,4,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (5) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (5) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,5,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (6) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (6) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,6,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (7) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (7) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,7,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (8) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (8) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,8,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (9) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (9) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,9,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (10) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (10) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,10,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (11) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (11) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,11,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (12) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (12) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,12,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (13) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (13) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,13,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (14) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (14) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,14,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (15) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (15) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,15,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (16) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (16) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,16,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (17) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (17) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,17,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
Zambia Statistics Agency Census - Southern Province (18) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census - Southern Province (18) Open Mapping Hub Eastern and Southern Africa,Zambia Statistics Agency Census,Southern Province,18,Open Mapping Hub Eastern and Southern Africa,Open Mapping Hub Eastern and Southern Africa
